Theo Ratliff,/players/r/ratlith01.html,/teams/ATL/2004.html,2.3,7.6923076923076925,10156250,19.268654918021916
Stephen Jackson,/players/j/jacksst02.html,/teams/ATL/2004.html,4.4,14.715719063545151,1000000,1.8972214073129272
Hiram Fuller,/players/f/fullehi01.html,/teams/ATL/2004.html,-0.1,-0.3344481605351171
Bob Sura,/players/s/surabo01.html,/teams/ATL/2004.html,2.6,8.695652173913045
Nazr Mohammed,/players/m/mohamna01.html,/teams/ATL/2004.html,1.7,5.685618729096991,5000000,9.486107036564636
Josh Davis,/players/d/davisjo02.html,/teams/ATL/2004.html,0.0,0.0
Joel Przybilla,/players/p/przybjo01.html,/teams/ATL/2004.html,0.0,0.0
Shareef Abdur-Rahim,/players/a/abdursh01.html,/teams/ATL/2004.html,6.6,22.073578595317723,13500000,25.61248899872452
Zeljko Rebraca,/players/r/rebraze01.html,/teams/ATL/2004.html,0.0,0.0
Jason Collier,/players/c/collija02.html,/teams/ATL/2004.html,1.2,4.013377926421405
Jacque Vaughn,/players/v/vaughja01.html,/teams/ATL/2004.html,0.0,0.0,813679,1.5437292174809754
Dan Dickau,/players/d/dickada01.html,/teams/ATL/2004.html,0.0,0.0,835200,1.5845593193877567
Michael Bradley,/players/b/bradlmi01.html,/teams/ATL/2004.html,0.0,0.0
Alan Henderson,/players/h/hendeal01.html,/teams/ATL/2004.html,0.2,0.6688963210702342,7682188,14.574811528602483
Lee Nailon,/players/n/nailole01.html,/teams/ATL/2004.html,0.2,0.6688963210702342
Jason Terry,/players/t/terryja01.html,/teams/ATL/2004.html,5.1,17.05685618729097,8333333,15.810177761867259
Wesley Person,/players/p/persowe01.html,/teams/ATL/2004.html,0.1,0.3344481605351171
Mamadou N'Diaye,/players/n/ndiayma02.html,/teams/ATL/2004.html,0.8,2.675585284280937
Travis Hansen,/players/h/hansetr01.html,/teams/ATL/2004.html,0.2,0.6688963210702342,366931,0.6961493482067397
Rasheed Wallace,/players/w/wallara01.html,/teams/ATL/2004.html,-0.1,-0.3344481605351171
Boris Diaw,/players/d/diawbo01.html,/teams/ATL/2004.html,0.8,2.675585284280937,1021080,1.9372148345790836
Chris Crawford,/players/c/crawfch01.html,/teams/ATL/2004.html,2.7,9.03010033444816,3000000,5.691664221938781
Dion Glover,/players/g/glovedi01.html,/teams/ATL/2004.html,1.2,4.013377926421405,1000000,1.8972214073129272
