Reggie Williams,/players/w/willire01.html,/teams/NJN/1997.html,0.2,0.6349206349206351,2048000,8.21876028348302
Adrian Caldwell,/players/c/caldwad01.html,/teams/NJN/1997.html,-0.1,-0.31746031746031755
Robert Pack,/players/p/packro01.html,/teams/NJN/1997.html,1.0,3.1746031746031753,2700000,10.835279670607498
Chris Gatling,/players/g/gatlich01.html,/teams/NJN/1997.html,0.2,0.6349206349206351
Evric Gray,/players/g/grayev01.html,/teams/NJN/1997.html,-0.1,-0.31746031746031755
Jayson Williams,/players/w/willija01.html,/teams/NJN/1997.html,1.7,5.396825396825398,2250000,9.029399725506249
Sam Cassell,/players/c/cassesa01.html,/teams/NJN/1997.html,2.2,6.984126984126986
Yinka Dare,/players/d/dareyi01.html,/teams/NJN/1997.html,-0.1,-0.31746031746031755,1448000,5.810920356681355
Tony Massenburg,/players/m/masseto01.html,/teams/NJN/1997.html,2.8,8.888888888888891,247500,0.9932339698056872
Kendall Gill,/players/g/gillke01.html,/teams/NJN/1997.html,8.8,27.936507936507944,3800000,15.249652869743885
Xavier McDaniel,/players/m/mcdanxa01.html,/teams/NJN/1997.html,0.7,2.2222222222222228,254000,1.0193189023460387
Khalid Reeves,/players/r/reevekh01.html,/teams/NJN/1997.html,1.3,4.126984126984128,1752000,7.030892586260866
Lloyd Daniels,/players/d/daniell01.html,/teams/NJN/1997.html,0.2,0.6349206349206351,184100,0.7388055508736445
Jack Haley,/players/h/haleyja01.html,/teams/NJN/1997.html,0.2,0.6349206349206351
Ed O'Bannon,/players/o/obanned01.html,/teams/NJN/1997.html,0.7,2.2222222222222228,1303000,5.229025707704285
Kerry Kittles,/players/k/kittlke01.html,/teams/NJN/1997.html,6.9,21.90476190476191,1356000,5.441718234571765
Shawn Bradley,/players/b/bradlsh01.html,/teams/NJN/1997.html,1.8,5.714285714285715,5130000,20.587031374154247
Jim Jackson,/players/j/jacksji01.html,/teams/NJN/1997.html,1.6,5.079365079365081
Eric Montross,/players/m/montrer01.html,/teams/NJN/1997.html,1.3,4.126984126984128
Joe Kleine,/players/k/kleinjo01.html,/teams/NJN/1997.html,0.4,1.2698412698412702
Robert Werdann,/players/w/werdaro01.html,/teams/NJN/1997.html,0.0,0.0,166000,0.6661690464151276
Vincent Askew,/players/a/askewvi01.html,/teams/NJN/1997.html,0.0,0.0
Kevin Edwards,/players/e/edwarke01.html,/teams/NJN/1997.html,-0.2,-0.6349206349206351,2280000,9.14979172184633
