David Wesley,/players/w/wesleda01.html,/teams/CHH/1999.html,4.8,18.39080459770115,2160000,8.388512398298996
Chuck Person,/players/p/persoch01.html,/teams/CHH/1999.html,0.9,3.448275862068966,1000000,3.883570554768054
Derrick Coleman,/players/c/colemde01.html,/teams/CHH/1999.html,2.0,7.662835249042146,6667000,25.891764888638612
Joe Wolf,/players/w/wolfjo01.html,/teams/CHH/1999.html,0.0,0.0,1000000,3.883570554768054
Charles Shackleford,/players/s/shackch01.html,/teams/CHH/1999.html,0.7,2.681992337164751
Corey Beck,/players/b/beckco01.html,/teams/CHH/1999.html,0.1,0.38314176245210735,425000,1.6505174857764229
Ricky Davis,/players/d/davisri01.html,/teams/CHH/1999.html,0.2,0.7662835249042147,680000,2.6408279772422762
Travis Williams,/players/w/willitr01.html,/teams/CHH/1999.html,0.0,0.0
Brad Miller,/players/m/millebr01.html,/teams/CHH/1999.html,2.1,8.045977011494255,287500,1.1165265344958155
Eddie Jones,/players/j/jonesed02.html,/teams/CHH/1999.html,4.0,15.325670498084293,2200000,8.543855220489718
Elden Campbell,/players/c/campbel01.html,/teams/CHH/1999.html,3.7,14.176245210727972,7000000,27.184993883376375
Willie Burton,/players/b/burtowi01.html,/teams/CHH/1999.html,-0.1,-0.38314176245210735
B.J. Armstrong,/players/a/armstbj01.html,/teams/CHH/1999.html,0.4,1.5325670498084294
Eldridge Recasner,/players/r/recasel01.html,/teams/CHH/1999.html,0.8,3.065134099616859
Chucky Brown,/players/b/brownch01.html,/teams/CHH/1999.html,1.6,6.130268199233718,850000,3.3010349715528458
Bobby Phills,/players/p/phillbo01.html,/teams/CHH/1999.html,3.0,11.49425287356322,3480000,13.514825530592828
J.R. Reid,/players/r/reidjr01.html,/teams/CHH/1999.html,1.9,7.2796934865900385
