Mike James,/players/j/jamesmi01.html,/teams/HOU/2005.html,2.2,4.112149532710281
Clarence Weatherspoon,/players/w/weathcl01.html,/teams/HOU/2005.html,1.1,2.0560747663551404,5899400,10.34133323825351
Bob Sura,/players/s/surabo01.html,/teams/HOU/2005.html,4.8,8.97196261682243,3200000,5.609429155916064
Juwan Howard,/players/h/howarju01.html,/teams/HOU/2005.html,3.2,5.981308411214954,5408700,9.481162336126005
Moochie Norris,/players/n/norrimo01.html,/teams/HOU/2005.html,-0.1,-0.1869158878504673
David Wesley,/players/w/wesleda01.html,/teams/HOU/2005.html,4.4,8.224299065420562
Dikembe Mutombo,/players/m/mutomdi01.html,/teams/HOU/2005.html,4.7,8.785046728971963,4496434,7.882008742891341
Tracy McGrady,/players/m/mcgratr01.html,/teams/HOU/2005.html,12.0,22.429906542056074,14487000,25.39493755679876
Yao Ming,/players/m/mingya01.html,/teams/HOU/2005.html,10.7,20.0,4436880,7.7776137604065205
Reece Gaines,/players/g/gainere01.html,/teams/HOU/2005.html,0.0,0.0,1454640,2.549906258550545
Tyronn Lue,/players/l/luety01.html,/teams/HOU/2005.html,0.5,0.9345794392523363,1600000,2.804714577958032
Jon Barry,/players/b/barryjo01.html,/teams/HOU/2005.html,3.7,6.915887850467289
Bostjan Nachbar,/players/n/nachbbo01.html,/teams/HOU/2005.html,0.3,0.5607476635514018,1493880,2.6186918835749657
Rod Strickland,/players/s/stricro02.html,/teams/HOU/2005.html,-0.2,-0.3738317757009346
Jim Jackson,/players/j/jacksji01.html,/teams/HOU/2005.html,1.5,2.803738317757009,2420000,4.242130799161523
Scott Padgett,/players/p/padgesc01.html,/teams/HOU/2005.html,2.8,5.233644859813084,807546,1.4155850241073107
Andre Barrett,/players/b/barrean01.html,/teams/HOU/2005.html,0.1,0.1869158878504673,385277,0.6753700115324605
Maurice Taylor,/players/t/tayloma01.html,/teams/HOU/2005.html,0.3,0.5607476635514018,8450000,14.812398864840857
Ryan Bowen,/players/b/bowenry01.html,/teams/HOU/2005.html,1.1,2.0560747663551404,807046,1.4147085508016988
Torraye Braggs,/players/b/braggto01.html,/teams/HOU/2005.html,0.0,0.0
Vin Baker,/players/b/bakervi01.html,/teams/HOU/2005.html,-0.1,-0.1869158878504673
Charlie Ward,/players/w/wardch01.html,/teams/HOU/2005.html,0.5,0.9345794392523363,1700000,2.980009239080409
Brandin Knight,/players/k/knighbr02.html,/teams/HOU/2005.html,0.0,0.0
