Theo Ratliff,/players/r/ratlith01.html,/teams/POR/2004.html,3.0,7.575757575757579
Qyntel Woods,/players/w/woodsqy01.html,/teams/POR/2004.html,-0.2,-0.5050505050505053,1053720,1.5492502936822619
Derek Anderson,/players/a/anderde01.html,/teams/POR/2004.html,3.6,9.090909090909093,7794000,11.459265069429781
Zach Randolph,/players/r/randoza01.html,/teams/POR/2004.html,7.1,17.929292929292934,1172160,1.72338877903295
Matt Carroll,/players/c/carroma01.html,/teams/POR/2004.html,0.0,0.0,349032,0.5131704138713389
Eddie Gill,/players/g/gilled01.html,/teams/POR/2004.html,0.3,0.7575757575757578
Omar Cook,/players/c/cookom01.html,/teams/POR/2004.html,-0.2,-0.5050505050505053
Desmond Ferguson,/players/f/fergude01.html,/teams/POR/2004.html,0.0,0.0
Shareef Abdur-Rahim,/players/a/abdursh01.html,/teams/POR/2004.html,1.5,3.7878787878787894
Bonzi Wells,/players/w/wellsbo01.html,/teams/POR/2004.html,-0.1,-0.25252525252525265
Ruben Patterson,/players/p/patteru01.html,/teams/POR/2004.html,3.0,7.575757575757579,5445600,8.006488819872573
Tracy Murray,/players/m/murratr01.html,/teams/POR/2004.html,-0.1,-0.25252525252525265,143537,0.2110377893598592
Kaniel Dickens,/players/d/dickeka01.html,/teams/POR/2004.html,0.0,0.0,264011,0.38816679885106825
Travis Outlaw,/players/o/outlatr01.html,/teams/POR/2004.html,0.0,0.0,941040,1.3835805492604827
Darius Miles,/players/m/milesda01.html,/teams/POR/2004.html,3.0,7.575757575757579
Damon Stoudamire,/players/s/stoudda01.html,/teams/POR/2004.html,5.9,14.898989898989903,12375000,18.1945605894526
Dale Davis,/players/d/davisda01.html,/teams/POR/2004.html,3.9,9.848484848484851,9061875,13.323380504367336
Slavko Vranes,/players/v/vranesl01.html,/teams/POR/2004.html,0.0,0.0
Vladimir Stepania,/players/s/stepavl01.html,/teams/POR/2004.html,0.8,2.020202020202021,751179,1.104434087193892
Jeff McInnis,/players/m/mcinnje01.html,/teams/POR/2004.html,2.6,6.5656565656565675,3300000,4.851882823854027
Wesley Person,/players/p/persowe01.html,/teams/POR/2004.html,1.6,4.040404040404042,7700000,11.32105992232606
Ruben Boumtje-Boumtje,/players/b/boumtru01.html,/teams/POR/2004.html,0.0,0.0,663679,0.9757856789856414
Rasheed Wallace,/players/w/wallara01.html,/teams/POR/2004.html,3.9,9.848484848484851,17000000,24.994547880460136
Dan Dickau,/players/d/dickada01.html,/teams/POR/2004.html,0.0,0.0
