Bobby Jackson,/players/j/jacksbo01.html,/teams/SAC/2005.html,1.4,2.9535864978902953,3150000,5.102978180685895
Doug Christie,/players/c/chrisdo01.html,/teams/SAC/2005.html,1.0,2.109704641350211,7550000,12.230947702913813
Brad Miller,/players/m/millebr01.html,/teams/SAC/2005.html,8.6,18.143459915611814,7875000,12.757445451714739
Corliss Williamson,/players/w/willico02.html,/teams/SAC/2005.html,1.2,2.5316455696202533
Greg Ostertag,/players/o/ostergr01.html,/teams/SAC/2005.html,0.7,1.4767932489451476,4000000,6.4799722929344705
Eddie House,/players/h/houseed01.html,/teams/SAC/2005.html,1.2,2.5316455696202533
Darius Songaila,/players/s/songada01.html,/teams/SAC/2005.html,4.3,9.071729957805907,1600000,2.5919889171737878
Chris Webber,/players/w/webbech01.html,/teams/SAC/2005.html,3.5,7.383966244725738,17531250,28.400503565126854
Mike Bibby,/players/b/bibbymi01.html,/teams/SAC/2005.html,8.5,17.932489451476794,10500000,17.009927268952985
Maurice Evans,/players/e/evansma01.html,/teams/SAC/2005.html,2.1,4.430379746835443,695046,1.1259697055787328
Kenny Thomas,/players/t/thomake01.html,/teams/SAC/2005.html,2.3,4.852320675105485
Brian Skinner,/players/s/skinnbr01.html,/teams/SAC/2005.html,1.9,4.0084388185654
Peja Stojakovic,/players/s/stojape01.html,/teams/SAC/2005.html,7.3,15.400843881856542,6875000,11.13745237848112
Erik Daniels,/players/d/danieer01.html,/teams/SAC/2005.html,-0.1,-0.21097046413502113,385277,0.6241460712762283
Michael Bradley,/players/b/bradlmi01.html,/teams/SAC/2005.html,0.1,0.21097046413502113
Kevin Martin,/players/m/martike02.html,/teams/SAC/2005.html,0.1,0.21097046413502113,872040,1.4126987595826437
Cuttino Mobley,/players/m/moblecu01.html,/teams/SAC/2005.html,2.9,6.118143459915612
Matt Barnes,/players/b/barnema02.html,/teams/SAC/2005.html,0.4,0.8438818565400845,695046,1.1259697055787328
