Jeff Malone,/players/m/malonje01.html,/teams/UTA/1994.html,2.9,5.430711610486891,2380000,15.650687183533899
John Stockton,/players/s/stockjo01.html,/teams/UTA/1994.html,13.2,24.719101123595504,2400000,15.78220556322746
Luther Wright,/players/w/wrighlu01.html,/teams/UTA/1994.html,-0.1,-0.18726591760299624,650000,4.27434734004077
David Benoit,/players/b/benoida01.html,/teams/UTA/1994.html,1.6,2.99625468164794,810000,5.326494377589268
Bryon Russell,/players/r/russebr01.html,/teams/UTA/1994.html,2.1,3.932584269662921,150000,0.9863878477017163
Tyrone Corbin,/players/c/corbity01.html,/teams/UTA/1994.html,4.4,8.239700374531834,1400000,9.206286578549353
Aaron Williams,/players/w/williaa01.html,/teams/UTA/1994.html,-0.1,-0.18726591760299624
Sean Green,/players/g/greense01.html,/teams/UTA/1994.html,0.0,0.0
Chad Gallagher,/players/g/gallach01.html,/teams/UTA/1994.html,0.1,0.18726591760299624
Tom Chambers,/players/c/chambto01.html,/teams/UTA/1994.html,3.9,7.303370786516853,605000,3.978430985730256
Darren Morningstar,/players/m/mornida01.html,/teams/UTA/1994.html,0.0,0.0
Jay Humphries,/players/h/humphja01.html,/teams/UTA/1994.html,2.0,3.7453183520599245,1800000,11.836654172420594
Stephen Howard,/players/h/howarst01.html,/teams/UTA/1994.html,0.2,0.3745318352059925
Karl Malone,/players/m/malonka01.html,/teams/UTA/1994.html,13.4,25.0936329588015,3081000,20.260406391793254
Dave Jamerson,/players/j/jamerda01.html,/teams/UTA/1994.html,0.0,0.0
Walter Bond,/players/b/bondwa01.html,/teams/UTA/1994.html,1.0,1.8726591760299622,150000,0.9863878477017163
Felton Spencer,/players/s/spencfe01.html,/teams/UTA/1994.html,4.7,8.801498127340823,1581000,10.39652791477609
John Crotty,/players/c/crottjo01.html,/teams/UTA/1994.html,1.0,1.8726591760299622,200000,1.3151837969356217
Jeff Hornacek,/players/h/hornaje01.html,/teams/UTA/1994.html,3.1,5.805243445692883
