Gerald Madkins,/players/m/madkige01.html,/teams/GSW/1998.html,0.3,1.6574585635359123
Bimbo Coles,/players/c/colesbi01.html,/teams/GSW/1998.html,0.9,4.972375690607737,1700000,5.174019155862427
Todd Fuller,/players/f/fulleto02.html,/teams/GSW/1998.html,0.7,3.8674033149171283,1293240,3.9360285488985443
Donyell Marshall,/players/m/marshdo01.html,/teams/GSW/1998.html,4.2,23.20441988950277,3990000,12.143727312877107
Dickey Simpkins,/players/s/simpkdi01.html,/teams/GSW/1998.html,-0.1,-0.5524861878453041,1235000,3.758772739700057
Joe Smith,/players/s/smithjo02.html,/teams/GSW/1998.html,1.8,9.944751381215474,3165160,9.633293218452659
Erick Dampier,/players/d/dampier01.html,/teams/GSW/1998.html,4.0,22.099447513812162,1478880,4.501031440718721
Jason Caffey,/players/c/caffeja01.html,/teams/GSW/1998.html,0.7,3.8674033149171283
B.J. Armstrong,/players/a/armstbj01.html,/teams/GSW/1998.html,-0.1,-0.5524861878453041,2600000,7.913205767789594
Felton Spencer,/players/s/spencfe01.html,/teams/GSW/1998.html,0.9,4.972375690607737,2178099,6.629132911391057
Brian Shaw,/players/s/shawbr01.html,/teams/GSW/1998.html,-0.3,-1.6574585635359123,3750000,11.413277549696529
Duane Ferrell,/players/f/ferredu01.html,/teams/GSW/1998.html,0.0,0.0,1235000,3.758772739700057
Tony Delk,/players/d/delkto01.html,/teams/GSW/1998.html,0.8,4.419889502762433
Latrell Sprewell,/players/s/sprewla01.html,/teams/GSW/1998.html,0.4,2.2099447513812165,7770000,23.64831108297121
Jeff Grayer,/players/g/grayeje01.html,/teams/GSW/1998.html,0.1,0.5524861878453041
David Vaughn,/players/v/vaughda02.html,/teams/GSW/1998.html,0.0,0.0,693840,2.1117302653550505
Jim Jackson,/players/j/jacksji01.html,/teams/GSW/1998.html,0.2,1.1049723756906082
Carl Thomas,/players/t/thomaca01.html,/teams/GSW/1998.html,0.1,0.5524861878453041,272250,0.8286039501079682
Clarence Weatherspoon,/players/w/weathcl01.html,/teams/GSW/1998.html,2.2,12.15469613259669
Brandon Williams,/players/w/willibr01.html,/teams/GSW/1998.html,-0.3,-1.6574585635359123
Muggsy Bogues,/players/b/boguemu01.html,/teams/GSW/1998.html,1.7,9.392265193370168
Adonal Foyle,/players/f/foylead01.html,/teams/GSW/1998.html,-0.1,-0.5524861878453041,1495000,4.550093316479017
