Bobby Jackson,/players/j/jacksbo01.html,/teams/MIN/1999.html,1.2,4.687499999999998,799200,2.4718942652795355
Dean Garrett,/players/g/garrede01.html,/teams/MIN/1999.html,2.9,11.328124999999996,2160000,6.680795311566312
Bill Curley,/players/c/curlebi01.html,/teams/MIN/1999.html,0.7,2.734374999999999,1544000,4.775531463452957
James Robinson,/players/r/robinja02.html,/teams/MIN/1999.html,-0.2,-0.7812499999999999,537500,1.6624664259105988
Chris Carr,/players/c/carrch01.html,/teams/MIN/1999.html,0.0,0.0
Dennis Scott,/players/s/scottde01.html,/teams/MIN/1999.html,1.3,5.078124999999999,725000,2.2423965744840633
Kevin Garnett,/players/g/garneke01.html,/teams/MIN/1999.html,5.4,21.093749999999996,14000000,43.30145109348536
Paul Grant,/players/g/grantpa01.html,/teams/MIN/1999.html,-0.1,-0.39062499999999994
Sam Mitchell,/players/m/mitchsa01.html,/teams/MIN/1999.html,3.0,11.718749999999996
Anthony Peeler,/players/p/peelean01.html,/teams/MIN/1999.html,1.1,4.296874999999999,2254000,6.9715336260511425
Brian Evans,/players/e/evansbr01.html,/teams/MIN/1999.html,-0.1,-0.39062499999999994,686780,2.124183612998848
Terrell Brandon,/players/b/brandte01.html,/teams/MIN/1999.html,2.3,8.984374999999996,6300000,19.48565299206841
Trevor Winter,/players/w/wintetr01.html,/teams/MIN/1999.html,0.0,0.0,287500,0.8892262278126457
Tom Hammonds,/players/h/hammoto01.html,/teams/MIN/1999.html,1.0,3.906249999999999
Reggie Jordan,/players/j/jordare01.html,/teams/MIN/1999.html,0.3,1.1718749999999996
Joe Smith,/players/s/smithjo02.html,/teams/MIN/1999.html,3.7,14.453124999999996,1750000,5.41268138668567
Andrae Patterson,/players/p/pattean01.html,/teams/MIN/1999.html,0.7,2.734374999999999,287500,0.8892262278126457
Malik Sealy,/players/s/sealyma01.html,/teams/MIN/1999.html,1.1,4.296874999999999,1000000,3.0929607923918114
Stephon Marbury,/players/m/marbust01.html,/teams/MIN/1999.html,1.3,5.078124999999999
Rasho Nesterovic,/players/n/nestera01.html,/teams/MIN/1999.html,0.0,0.0
