Tim Thomas,/players/t/thomati01.html,/teams/NYK/2009.html,1.5,4.373177842565598
Courtney Sims,/players/s/simsco01.html,/teams/NYK/2009.html,0.0,0.0
Zach Randolph,/players/r/randoza01.html,/teams/NYK/2009.html,0.9,2.6239067055393592
Eddy Curry,/players/c/curryed01.html,/teams/NYK/2009.html,0.0,0.0,9723983,14.578024884360186
Malik Rose,/players/r/rosema01.html,/teams/NYK/2009.html,-0.6,-1.749271137026239
Chris Duhon,/players/d/duhonch01.html,/teams/NYK/2009.html,4.2,12.244897959183675,5585000,8.372934113433933
Mardy Collins,/players/c/collima01.html,/teams/NYK/2009.html,-0.1,-0.2915451895043732
Nate Robinson,/players/r/robinna01.html,/teams/NYK/2009.html,5.9,17.201166180758023,2020179,3.028616949748048
Mouhamed Sene,/players/s/senesa01.html,/teams/NYK/2009.html,0.0,0.0
Al Harrington,/players/h/harrial01.html,/teams/NYK/2009.html,4.0,11.661807580174928,9226250,13.831832294372395
Demetris Nichols,/players/n/nichode01.html,/teams/NYK/2009.html,0.0,0.0
Jared Jeffries,/players/j/jeffrja01.html,/teams/NYK/2009.html,1.2,3.498542274052478,6049400,9.069154454038895
Danilo Gallinari,/players/g/gallida01.html,/teams/NYK/2009.html,1.0,2.915451895043732,2873520,4.307930820704507
Chris Wilcox,/players/w/wilcoch01.html,/teams/NYK/2009.html,0.5,1.457725947521866,6750000,10.119481694839578
Joe Crawford,/players/c/crawfjo01.html,/teams/NYK/2009.html,0.0,0.0
Larry Hughes,/players/h/hughela01.html,/teams/NYK/2009.html,0.7,2.0408163265306123,12827676,19.231027032493774
Jerome James,/players/j/jamesje01.html,/teams/NYK/2009.html,0.0,0.0
Quentin Richardson,/players/r/richaqu01.html,/teams/NYK/2009.html,2.1,6.122448979591837,8685500,13.021149371930246
David Lee,/players/l/leeda02.html,/teams/NYK/2009.html,9.0,26.23906705539359,1788033,2.680587735299125
Jamal Crawford,/players/c/crawfja01.html,/teams/NYK/2009.html,0.7,2.0408163265306123
Cheikh Samb,/players/s/sambch01.html,/teams/NYK/2009.html,-0.1,-0.2915451895043732
Anthony Roberson,/players/r/roberan02.html,/teams/NYK/2009.html,0.3,0.8746355685131195
Wilson Chandler,/players/c/chandwi01.html,/teams/NYK/2009.html,3.1,9.03790087463557,1173480,1.7592606487793108
